property_rights,government_integrity,judicial_effectiveness,tax_burden,government_spending,fiscal_health,business_freedom,labor_freedom,trade_freedom,investment_freedom,financial_freedom
50.0,10.0,34.7,86.3,88.0,98.5,55.0,45.8,47.8,30.0,30.0
50.0,24.0,45.1,74.6,73.0,87.7,55.0,59.6,52.4,50.0,30.0
90.0,90.0,74.1,36.9,28.0,88.2,70.0,61.5,77.8,70.0,90.0
90.0,75.0,80.9,44.2,25.0,81.1,70.0,73.6,83.0,70.0,70.0
50.0,30.0,46.3,79.3,86.8,67.2,55.0,70.3,77.0,50.0,70.0
90.0,68.0,63.4,73.2,85.5,91.7,85.0,74.5,70.4,70.0,50.0
10.0,10.0,25.3,78.3,90.3,83.6,40.0,62.6,61.8,30.0,30.0
70.0,34.0,52.5,67.2,82.7,93.6,70.0,41.1,75.0,70.0,70.0
30.0,10.0,24.1,45.9,84.1,81.9,55.0,43.7,65.2,30.0,30.0
90.0,100.0,77.8,30.5,0.0,96.7,85.0,92.1,77.8,70.0,70.0
10.0,10.0,41.4,71.1,85.5,61.2,40.0,57.6,66.0,10.0,10.0
90.0,90.0,85.0,99.9,65.7,99.0,85.0,78.8,77.0,30.0,50.0
10.0,10.0,12.3,10.0,10.2,11.9,55.0,69.8,40.0,10.0,10.0
70.0,50.0,48.3,73.4,81.3,30.4,70.0,61.8,70.2,50.0,50.0
70.0,49.0,56.1,50.9,54.4,70.5,70.0,54.4,78.0,70.0,50.0
30.0,10.0,22.6,39.2,65.3,6.9,55.0,55.7,15.0,30.0,10.0
70.0,46.0,55.9,67.5,49.6,96.2,85.0,77.0,72.8,70.0,90.0
90.0,89.0,83.3,56.7,36.5,97.8,70.0,48.6,81.0,50.0,50.0
30.0,30.0,23.1,85.3,93.3,90.1,55.0,56.2,59.4,50.0,50.0
50.0,46.0,33.5,80.1,92.3,94.7,70.0,62.8,66.6,70.0,70.0
10.0,41.0,26.1,47.8,61.1,59.1,55.0,38.8,53.4,10.0,30.0
30.0,23.0,28.5,79.5,71.2,67.5,70.0,50.4,63.8,70.0,30.0
90.0,92.0,71.5,62.9,58.9,94.3,70.0,61.8,82.4,70.0,50.0
90.0,50.0,56.7,71.4,58.9,79.3,85.0,69.9,77.0,50.0,70.0
90.0,89.0,82.0,80.1,22.0,95.9,70.0,77.2,83.0,70.0,90.0
30.0,22.0,34.1,82.0,90.3,49.2,55.0,47.8,49.4,50.0,50.0
30.0,10.0,22.2,74.7,33.7,5.4,55.0,57.1,64.2,30.0,30.0
50.0,39.0,35.4,83.7,94.1,78.5,85.0,64.5,77.2,70.0,70.0
50.0,10.0,21.4,63.8,78.1,11.7,55.0,81.8,25.0,50.0,30.0
50.0,10.0,38.8,72.7,90.3,0.0,55.0,67.0,57.4,50.0,50.0
70.0,42.0,56.6,61.3,44.5,81.5,70.0,61.3,77.6,70.0,50.0
50.0,38.0,56.6,76.7,84.1,79.9,70.0,70.0,76.4,70.0,30.0
50.0,30.0,42.5,60.3,54.4,77.6,55.0,65.2,51.0,50.0,50.0
70.0,52.0,51.8,65.7,41.9,82.4,70.0,67.7,77.8,70.0,70.0
70.0,57.0,82.8,79.6,67.3,99.8,85.0,55.8,85.0,90.0,70.0
30.0,19.0,34.7,80.9,94.1,79.0,55.0,60.1,45.0,50.0,50.0
30.0,30.0,37.6,66.7,78.1,85.5,55.0,57.7,46.0,30.0,30.0
30.0,27.0,56.5,66.9,33.7,67.2,55.0,43.4,71.6,50.0,50.0
30.0,30.0,42.9,70.7,63.3,82.4,70.0,75.7,60.2,30.0,50.0
30.0,50.0,35.2,64.6,63.3,19.2,70.0,52.9,59.6,50.0,50.0
30.0,10.0,50.3,58.0,92.3,90.4,55.0,55.5,69.0,30.0,30.0
30.0,17.0,45.2,80.4,86.8,89.4,55.0,50.3,67.2,50.0,30.0
30.0,10.0,29.6,54.2,93.3,24.5,40.0,45.2,61.0,30.0,10.0
50.0,50.0,59.7,65.0,78.1,70.0,70.0,58.7,61.0,70.0,50.0
70.0,66.0,53.9,53.8,54.4,36.1,70.0,51.8,78.0,70.0,70.0
10.0,10.0,25.3,78.3,95.7,83.6,40.0,62.6,65.0,30.0,30.0
30.0,20.0,28.2,89.7,90.3,96.3,55.0,28.1,65.8,70.0,50.0
90.0,94.0,84.0,33.7,2.5,96.1,70.0,54.0,78.0,70.0,70.0
30.0,30.0,28.2,71.3,92.3,61.0,55.0,70.5,70.2,50.0,50.0
90.0,100.0,77.8,31.6,0.0,96.7,85.0,92.1,78.0,70.0,70.0
10.0,10.0,17.6,89.5,90.3,19.1,55.0,43.1,61.0,30.0,10.0
70.0,68.0,82.0,53.1,30.9,79.0,70.0,64.9,83.0,90.0,50.0
70.0,32.0,45.3,75.4,90.3,96.4,70.0,73.6,77.6,70.0,50.0
90.0,80.0,78.0,44.7,33.7,90.8,70.0,44.4,78.0,90.0,50.0
90.0,70.0,48.7,97.3,89.2,59.0,100.0,80.0,19.4,50.0,70.0
50.0,50.0,29.4,81.0,74.8,86.1,70.0,43.0,61.0,70.0,90.0
90.0,56.0,69.2,75.3,79.7,90.8,85.0,49.2,78.8,50.0,50.0
50.0,32.0,32.3,86.7,94.9,95.3,55.0,53.4,72.6,50.0,70.0
50.0,23.0,64.2,90.9,89.2,93.5,55.0,91.1,75.6,50.0,30.0
30.0,24.0,22.3,90.8,85.5,47.0,55.0,42.2,59.0,70.0,30.0
50.0,36.0,37.1,77.3,88.0,97.2,55.0,52.9,68.4,50.0,50.0
50.0,70.0,52.3,98.5,67.3,17.7,70.0,75.4,79.4,30.0,50.0
10.0,10.0,36.0,41.3,82.7,91.7,40.0,52.5,62.0,10.0,10.0
90.0,77.0,84.0,93.7,91.0,100.0,100.0,86.7,90.0,90.0,90.0
10.0,10.0,48.7,65.9,81.3,81.4,40.0,60.9,64.8,30.0,10.0
50.0,30.0,13.8,87.1,67.3,18.0,55.0,59.7,51.0,50.0,50.0
90.0,98.0,82.7,55.6,28.0,81.1,70.0,46.5,78.0,70.0,50.0
70.0,66.0,72.7,33.9,18.9,60.8,70.0,51.6,78.0,50.0,50.0
50.0,50.0,54.0,52.9,73.5,51.9,55.0,73.4,45.2,50.0,50.0
50.0,29.0,54.3,77.0,76.5,13.2,55.0,62.3,25.6,30.0,30.0
50.0,33.0,43.7,73.0,84.1,9.5,55.0,56.5,56.0,50.0,50.0
50.0,50.0,27.8,52.2,63.3,92.3,55.0,60.1,39.0,50.0,50.0
50.0,35.0,39.8,68.5,74.8,14.4,55.0,51.0,69.4,70.0,50.0
70.0,47.0,55.4,47.1,28.0,68.2,70.0,53.0,78.0,70.0,70.0
10.0,10.0,10.0,46.5,0.0,64.4,40.0,20.0,60.6,30.0,10.0
30.0,18.0,34.5,81.9,86.8,87.4,55.0,31.6,73.8,50.0,50.0
70.0,30.0,35.3,73.0,74.8,39.7,70.0,69.5,61.0,70.0,50.0
90.0,77.0,78.3,63.0,71.2,80.8,85.0,78.2,78.0,90.0,90.0
50.0,33.0,52.5,66.1,54.4,1.2,55.0,53.6,47.2,50.0,30.0
90.0,38.0,59.9,71.7,79.7,97.0,70.0,51.1,67.8,70.0,50.0
30.0,15.0,29.6,50.4,89.2,60.9,55.0,51.5,61.6,50.0,50.0
50.0,30.0,21.4,74.5,84.1,82.5,70.0,47.2,0.0,50.0,50.0
30.0,34.0,65.4,70.4,94.1,85.9,55.0,62.6,46.0,30.0,30.0
90.0,70.0,53.5,99.9,44.5,99.3,70.0,64.2,78.6,30.0,50.0
30.0,26.0,29.5,63.8,49.6,75.9,55.0,51.2,70.0,50.0,30.0
90.0,75.0,76.9,63.5,71.2,53.3,85.0,95.4,81.0,70.0,90.0
50.0,25.0,12.3,88.2,74.8,46.8,55.0,39.4,71.6,90.0,70.0
50.0,10.0,26.6,92.3,63.3,0.0,70.0,58.7,57.0,50.0,70.0
70.0,49.0,69.6,75.9,84.1,73.7,70.0,71.5,60.2,50.0,70.0
90.0,92.0,77.1,41.5,47.1,81.2,85.0,81.8,77.8,50.0,70.0
70.0,67.0,68.9,61.6,41.9,46.0,70.0,41.5,78.0,70.0,50.0
30.0,26.0,13.1,75.5,88.0,17.6,55.0,32.3,61.4,50.0,50.0
30.0,30.0,17.6,51.3,79.7,77.1,55.0,51.5,35.0,50.0,30.0
30.0,10.0,17.6,74.9,95.7,89.2,40.0,20.0,69.0,10.0,30.0
50.0,37.0,38.0,59.3,39.3,84.9,70.0,64.5,80.2,70.0,50.0
50.0,34.0,38.7,69.0,85.5,69.8,55.0,59.9,83.0,50.0,50.0
50.0,70.0,60.0,87.5,47.1,95.4,55.0,65.4,75.0,50.0,30.0
30.0,10.0,28.2,54.3,89.2,6.2,55.0,44.8,25.0,30.0,30.0
90.0,90.0,85.0,99.9,51.3,99.0,85.0,78.8,77.0,50.0,50.0
50.0,30.0,50.9,64.3,28.0,90.5,55.0,63.7,61.0,50.0,50.0
30.0,30.0,31.3,71.5,97.0,49.7,70.0,51.9,61.0,50.0,50.0
90.0,91.0,91.5,83.1,90.3,80.0,100.0,96.9,83.0,90.0,70.0
70.0,36.0,52.5,66.9,73.0,93.6,70.0,41.1,73.0,70.0,50.0
30.0,31.0,18.7,80.8,71.2,94.8,55.0,63.4,65.6,70.0,50.0
50.0,30.0,46.3,81.9,85.5,67.2,55.0,70.3,77.0,70.0,70.0
10.0,10.0,41.4,71.0,81.3,61.2,40.0,57.6,55.6,10.0,10.0
50.0,51.0,67.3,80.6,85.5,80.7,70.0,72.3,66.0,30.0,30.0
50.0,41.0,51.7,87.0,71.2,7.7,70.0,57.5,57.0,50.0,50.0
30.0,22.0,22.1,68.7,86.8,78.9,55.0,79.8,65.0,50.0,50.0
50.0,10.0,33.4,60.8,81.3,84.8,70.0,63.3,61.0,70.0,50.0
50.0,33.0,41.9,58.1,67.3,94.3,55.0,78.4,57.2,70.0,50.0
50.0,41.0,44.2,70.9,73.0,28.1,55.0,58.8,64.8,50.0,50.0
90.0,86.0,93.0,61.7,52.0,53.5,85.0,73.5,78.0,70.0,90.0
90.0,94.0,88.4,62.5,49.6,98.3,85.0,89.6,78.0,90.0,90.0
70.0,61.0,54.0,80.4,61.1,98.2,70.0,69.7,61.0,50.0,70.0
90.0,69.0,63.4,73.7,84.1,91.7,85.0,74.5,71.6,70.0,50.0
50.0,70.0,31.0,75.5,48.8,78.1,70.0,80.2,62.0,50.0,50.0
50.0,34.0,58.9,75.5,65.3,95.3,70.0,64.1,80.0,70.0,70.0
90.0,30.0,62.8,65.7,41.9,90.0,70.0,60.0,73.6,50.0,70.0
50.0,70.0,62.7,99.4,65.3,19.7,70.0,74.4,61.0,30.0,30.0
10.0,10.0,5.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0,10.0
50.0,50.0,41.7,68.7,58.9,53.4,70.0,62.7,45.2,70.0,50.0
10.0,10.0,22.6,53.6,54.6,19.9,40.0,20.0,49.0,10.0,10.0
30.0,10.0,42.9,73.4,76.5,80.4,55.0,53.5,61.0,70.0,50.0
30.0,17.0,36.8,71.8,86.8,95.5,55.0,75.2,66.8,30.0,30.0
10.0,10.0,40.0,67.0,0.0,94.4,40.0,59.6,67.6,30.0,30.0
90.0,76.0,80.9,44.2,25.0,81.1,70.0,73.6,78.0,70.0,70.0
90.0,88.0,77.0,52.5,58.9,99.0,85.0,44.1,78.0,90.0,90.0
70.0,50.0,48.7,70.9,76.5,16.6,70.0,77.1,66.8,90.0,70.0
50.0,29.0,34.3,72.4,88.0,82.2,70.0,77.6,69.2,70.0,70.0
50.0,30.0,44.5,72.5,79.7,52.6,85.0,44.9,65.0,70.0,70.0
90.0,90.0,74.1,38.4,25.0,88.2,70.0,61.5,78.0,90.0,90.0
50.0,22.0,38.5,81.0,92.3,78.1,70.0,87.8,72.2,50.0,30.0
50.0,38.0,62.4,71.0,73.0,96.7,70.0,59.0,82.8,70.0,50.0
30.0,18.0,35.3,55.9,65.3,99.7,40.0,61.1,50.0,30.0,10.0
30.0,34.0,56.3,66.0,41.9,85.4,40.0,74.9,70.2,30.0,30.0
50.0,26.0,26.3,54.5,76.5,90.6,55.0,40.9,76.4,50.0,50.0
70.0,30.0,50.2,64.9,61.1,40.2,70.0,48.1,39.4,70.0,30.0
50.0,41.0,44.3,62.3,82.7,60.6,70.0,31.7,61.0,70.0,50.0
50.0,24.0,45.1,74.7,73.0,87.7,55.0,59.6,52.2,50.0,30.0
50.0,51.0,55.6,83.2,88.0,42.5,70.0,60.1,71.8,70.0,50.0
70.0,44.0,52.6,76.2,61.1,55.5,70.0,74.2,65.8,70.0,70.0
30.0,16.0,34.3,84.4,74.8,80.9,55.0,80.6,27.0,50.0,30.0
10.0,26.0,36.3,54.1,86.8,27.3,40.0,65.5,51.0,30.0,30.0
30.0,10.0,34.7,84.0,88.0,98.5,55.0,45.8,67.8,30.0,30.0
90.0,70.0,54.4,58.8,65.3,0.0,85.0,80.0,46.8,70.0,70.0
30.0,26.0,45.8,52.1,82.7,80.8,55.0,56.1,61.0,50.0,50.0
70.0,53.0,54.2,63.1,69.3,16.5,70.0,85.1,61.0,70.0,50.0
30.0,33.0,58.5,57.6,79.7,90.9,55.0,62.5,73.4,50.0,30.0
90.0,60.0,73.2,70.4,58.9,49.3,85.0,82.4,80.6,50.0,50.0
90.0,87.0,92.9,55.4,67.3,84.6,70.0,85.8,79.0,70.0,90.0
30.0,30.0,24.5,91.6,94.1,92.1,55.0,47.2,62.8,50.0,50.0
30.0,23.0,32.6,77.3,93.3,78.7,40.0,62.5,48.8,50.0,30.0
30.0,35.0,35.2,82.6,85.5,16.6,55.0,37.9,65.0,50.0,50.0
90.0,53.0,69.3,33.2,22.0,67.9,70.0,68.4,78.0,70.0,70.0
30.0,10.0,24.1,45.9,85.5,81.9,55.0,43.7,53.8,30.0,30.0
50.0,43.0,28.4,64.5,47.1,3.8,55.0,75.0,75.0,50.0,50.0
10.0,10.0,79.6,67.0,95.7,83.3,40.0,81.8,62.4,30.0,10.0
50.0,20.0,44.0,77.3,76.5,14.1,55.0,62.9,60.6,50.0,50.0
50.0,34.0,40.4,60.2,89.2,58.4,55.0,42.4,61.0,50.0,50.0
60.0,70.0,53.7,99.2,73.0,6.5,85.0,79.1,75.4,50.0,80.0
30.0,10.0,31.0,45.8,91.3,22.2,55.0,43.5,61.0,30.0,30.0
70.0,44.0,66.8,86.5,71.2,71.1,70.0,73.7,77.8,70.0,70.0
70.0,60.0,55.1,52.8,47.1,66.3,85.0,42.8,67.4,50.0,50.0
70.0,50.0,48.7,83.6,74.8,50.0,70.0,80.6,56.0,50.0,50.0
30.0,23.0,56.5,79.2,88.0,87.3,55.0,85.5,65.0,30.0,30.0
30.0,10.0,5.0,84.6,79.7,98.6,55.0,30.0,25.0,30.0,10.0
30.0,10.0,44.8,89.8,74.8,67.0,40.0,69.2,88.4,10.0,30.0
50.0,35.0,41.9,68.3,49.6,94.3,55.0,78.4,60.2,70.0,50.0
30.0,30.0,24.5,91.3,91.3,92.1,55.0,47.2,67.0,50.0,50.0
30.0,10.0,28.5,79.2,67.3,67.5,55.0,50.4,63.4,70.0,50.0
50.0,30.0,21.4,74.3,90.3,82.5,70.0,47.2,22.4,50.0,50.0
50.0,48.0,67.3,81.5,84.1,80.7,70.0,72.3,66.6,30.0,30.0
30.0,22.0,34.1,73.8,85.5,49.2,55.0,47.8,59.0,50.0,50.0
50.0,18.0,34.5,84.4,82.7,87.4,55.0,31.6,69.8,50.0,50.0
70.0,90.0,85.0,99.9,58.3,99.0,85.0,78.8,77.0,50.0,50.0
50.0,30.0,42.5,60.9,47.1,77.6,55.0,65.2,66.8,50.0,50.0
90.0,86.0,77.0,56.8,52.0,99.0,85.0,44.1,79.6,90.0,90.0
50.0,35.0,40.4,59.9,86.8,58.4,55.0,42.4,61.0,50.0,50.0
90.0,70.0,48.7,97.0,89.2,59.0,100.0,80.0,15.0,50.0,70.0
30.0,26.0,22.3,86.7,84.1,47.0,55.0,42.2,62.4,70.0,30.0
50.0,31.0,52.5,65.6,71.2,1.2,55.0,53.6,55.0,50.0,30.0
30.0,15.0,29.5,66.1,58.9,75.9,55.0,51.2,71.0,50.0,30.0
10.0,10.0,17.6,74.9,95.7,89.2,40.0,20.0,69.0,10.0,30.0
30.0,30.0,23.1,85.3,93.3,90.1,55.0,56.2,60.8,50.0,50.0
50.0,41.0,62.4,74.1,69.3,96.7,70.0,59.0,82.8,70.0,50.0
50.0,30.0,50.2,64.5,49.6,40.2,70.0,48.1,46.8,70.0,50.0
90.0,77.0,80.9,44.5,18.9,81.1,70.0,73.6,79.6,70.0,70.0
30.0,10.0,31.0,45.8,90.3,22.2,55.0,43.5,61.0,30.0,30.0
70.0,52.0,51.8,65.5,28.0,82.4,70.0,67.7,80.0,70.0,70.0
50.0,70.0,60.0,87.5,56.7,95.4,55.0,65.4,77.0,50.0,30.0
10.0,25.0,36.3,54.1,90.3,27.3,40.0,65.5,51.0,30.0,30.0
30.0,30.0,42.9,65.9,78.1,80.4,55.0,53.5,61.0,70.0,50.0
50.0,23.0,38.5,80.7,90.3,78.1,70.0,87.8,72.2,50.0,30.0
50.0,34.0,39.8,75.8,76.5,14.4,55.0,51.0,67.6,70.0,50.0
50.0,70.0,62.7,99.4,71.2,19.7,70.0,74.4,63.4,50.0,30.0
10.0,10.0,25.3,78.3,95.7,83.6,40.0,62.6,68.8,30.0,30.0
50.0,41.0,44.2,73.0,74.8,28.1,55.0,58.8,65.0,50.0,50.0
50.0,10.0,38.8,73.0,84.1,0.0,55.0,67.0,65.6,50.0,50.0
90.0,77.0,84.0,93.8,90.3,100.0,100.0,86.7,90.0,90.0,90.0
90.0,94.0,88.4,62.5,49.6,98.3,85.0,89.6,78.4,90.0,90.0
90.0,61.0,69.3,33.7,28.0,67.9,70.0,68.4,79.6,90.0,70.0
30.0,10.0,51.3,89.8,74.8,44.3,40.0,72.0,88.4,10.0,30.0
30.0,32.0,37.6,70.3,71.2,85.5,55.0,57.7,50.0,30.0,30.0
30.0,23.0,64.2,90.7,85.5,93.5,55.0,91.1,79.2,50.0,30.0
30.0,10.0,79.6,67.0,88.0,83.3,40.0,81.8,59.4,50.0,30.0
50.0,43.0,28.4,64.1,54.4,3.8,55.0,75.0,71.0,50.0,50.0
90.0,89.0,74.1,43.6,39.3,88.2,70.0,61.5,79.6,90.0,90.0
30.0,10.0,22.6,40.4,63.3,6.9,55.0,55.7,15.0,30.0,10.0
50.0,50.0,48.7,84.5,74.8,50.0,70.0,80.6,66.8,50.0,50.0
60.0,70.0,53.7,99.3,74.8,6.5,85.0,79.1,76.6,50.0,80.0
50.0,26.0,26.3,78.2,76.5,90.6,55.0,40.9,76.0,50.0,50.0
50.0,30.0,35.3,72.7,71.2,39.7,70.0,69.5,61.0,70.0,50.0
30.0,30.0,31.3,71.4,90.3,49.7,55.0,51.9,61.0,50.0,50.0
90.0,76.0,78.0,53.3,36.5,90.8,70.0,44.4,79.6,90.0,50.0
30.0,24.0,35.3,50.9,69.3,99.7,40.0,61.1,50.0,30.0,10.0
30.0,10.0,50.3,61.6,91.3,90.4,55.0,55.5,69.0,30.0,30.0
30.0,47.0,44.3,62.3,69.3,60.6,70.0,31.7,46.0,70.0,50.0
90.0,100.0,82.7,55.6,28.0,81.1,85.0,46.5,79.6,70.0,70.0
30.0,29.0,58.5,64.4,58.9,90.9,55.0,62.5,74.4,50.0,30.0
70.0,54.0,54.2,65.6,69.3,16.5,70.0,85.1,61.0,70.0,50.0
70.0,55.0,69.2,75.7,82.7,90.8,70.0,49.2,80.0,50.0,70.0
70.0,67.0,72.7,37.2,15.7,60.8,70.0,51.6,79.6,50.0,50.0
90.0,70.0,54.4,59.0,65.3,0.0,85.0,80.0,66.8,70.0,70.0
30.0,10.0,34.7,84.0,89.2,98.5,55.0,45.8,64.2,30.0,30.0
10.0,30.0,26.1,64.8,52.0,59.1,55.0,38.8,59.8,10.0,10.0
30.0,22.0,35.2,82.5,81.3,16.6,55.0,37.9,57.4,70.0,50.0
30.0,30.0,42.9,70.9,76.5,82.4,70.0,75.7,46.2,30.0,50.0
50.0,50.0,27.8,53.2,76.5,92.3,55.0,60.1,48.2,50.0,50.0
30.0,21.0,45.1,84.9,58.9,87.7,55.0,59.6,57.4,50.0,30.0
30.0,20.0,28.2,89.8,92.3,96.3,55.0,28.1,58.0,70.0,50.0
30.0,41.0,56.3,68.2,36.5,85.4,40.0,74.9,75.4,30.0,30.0
70.0,44.0,66.8,86.9,69.3,71.1,70.0,73.7,58.0,70.0,70.0
50.0,35.0,43.7,73.3,79.7,9.5,55.0,56.5,55.6,50.0,50.0
30.0,25.0,34.7,81.0,94.1,79.0,55.0,60.1,46.0,70.0,50.0
70.0,32.0,45.3,75.3,90.3,96.4,70.0,73.6,77.8,70.0,50.0
90.0,30.0,62.8,64.6,30.9,90.0,70.0,60.0,75.4,50.0,70.0
10.0,10.0,17.6,89.6,92.3,19.1,55.0,43.1,48.2,30.0,10.0
30.0,25.0,28.2,71.3,92.3,61.0,55.0,70.5,28.0,50.0,50.0
70.0,60.0,54.0,73.1,44.5,98.2,70.0,69.7,61.0,70.0,70.0
90.0,87.0,93.0,61.5,58.9,53.5,85.0,73.5,79.6,70.0,90.0
30.0,50.0,29.4,80.9,76.5,86.1,70.0,43.0,61.0,70.0,90.0
50.0,10.0,33.4,69.8,82.7,84.8,70.0,63.3,61.0,70.0,50.0
10.0,10.0,48.7,65.1,79.7,81.4,40.0,60.9,61.0,30.0,10.0
30.0,44.0,33.5,80.5,91.3,94.7,55.0,62.8,60.4,70.0,70.0
50.0,39.0,51.7,86.3,71.2,7.7,70.0,57.5,58.0,50.0,50.0
50.0,41.0,35.4,83.7,93.3,78.5,85.0,64.5,77.4,70.0,70.0
30.0,31.0,18.7,81.3,81.3,94.8,55.0,63.4,63.2,70.0,70.0
90.0,94.0,84.0,31.4,2.5,96.1,70.0,54.0,79.6,90.0,90.0
50.0,10.0,21.4,65.7,65.3,11.7,55.0,81.8,66.8,50.0,30.0
30.0,15.0,36.8,78.4,88.0,95.5,55.0,75.2,74.4,30.0,30.0
30.0,32.0,32.3,79.8,95.7,95.3,55.0,53.4,73.6,50.0,70.0
30.0,10.0,28.2,54.5,67.3,6.2,55.0,44.8,48.2,30.0,30.0
70.0,57.0,82.8,80.0,54.4,99.8,85.0,55.8,85.0,90.0,90.0
50.0,33.0,38.7,68.8,85.5,69.8,55.0,59.9,81.2,50.0,70.0
30.0,27.0,13.1,75.0,89.2,17.6,55.0,32.3,58.8,50.0,50.0
90.0,86.0,82.0,80.0,56.7,95.9,70.0,77.2,83.0,70.0,90.0
50.0,49.0,56.1,50.1,54.4,70.5,70.0,54.4,79.6,50.0,50.0
70.0,47.0,69.6,84.2,84.1,73.7,70.0,71.5,62.8,50.0,70.0
30.0,27.0,12.3,88.7,69.3,46.8,55.0,39.4,74.2,90.0,70.0
90.0,78.0,76.9,63.4,65.3,53.3,85.0,95.4,79.4,70.0,90.0
30.0,30.0,17.6,51.3,79.7,77.1,55.0,51.5,29.0,70.0,50.0
10.0,10.0,40.0,66.8,0.0,94.4,40.0,59.6,72.6,30.0,30.0
10.0,10.0,22.6,51.3,64.7,19.9,40.0,20.0,49.0,10.0,10.0
30.0,23.0,32.6,77.3,93.3,78.7,40.0,62.5,50.6,50.0,30.0
50.0,38.0,52.5,65.2,58.9,93.6,55.0,41.1,79.6,50.0,50.0
90.0,92.0,77.1,71.1,49.6,81.2,85.0,81.8,78.6,50.0,70.0
50.0,28.0,37.1,77.4,88.0,97.2,55.0,52.9,71.6,50.0,50.0
30.0,10.0,29.6,54.3,89.2,24.5,40.0,45.2,61.0,30.0,10.0
10.0,10.0,41.4,66.4,91.3,61.2,40.0,57.6,55.6,10.0,10.0
50.0,30.0,50.9,64.7,5.9,90.5,55.0,63.7,61.0,50.0,50.0
50.0,55.0,55.1,51.8,41.9,66.3,85.0,42.8,64.2,50.0,50.0
30.0,30.0,56.5,79.3,84.1,87.3,55.0,85.5,65.0,30.0,30.0
10.0,10.0,10.0,46.5,12.5,64.4,40.0,20.0,60.6,30.0,10.0
50.0,50.0,59.7,65.2,79.7,70.0,70.0,58.7,61.0,70.0,50.0
90.0,70.0,56.7,71.2,58.9,79.3,85.0,69.9,78.8,50.0,70.0
70.0,70.0,53.5,99.9,41.9,99.3,70.0,64.2,76.8,30.0,50.0
70.0,46.0,55.4,48.0,33.7,68.2,70.0,53.0,79.6,70.0,70.0
50.0,28.0,54.3,76.7,78.1,13.2,55.0,62.3,21.8,50.0,30.0
90.0,72.0,78.3,66.5,69.3,80.8,85.0,78.2,79.6,90.0,90.0
50.0,35.0,44.5,72.4,76.5,52.6,70.0,44.9,53.0,70.0,70.0
50.0,35.0,38.0,61.1,33.7,84.9,70.0,64.5,79.8,70.0,70.0
30.0,10.0,26.6,92.0,61.1,0.0,55.0,58.7,53.4,50.0,70.0
30.0,32.0,34.3,72.6,89.2,82.2,70.0,77.6,69.8,70.0,70.0
30.0,33.0,60.7,81.0,63.3,78.1,55.0,69.0,63.0,50.0,70.0
70.0,70.0,53.9,53.1,52.0,36.1,70.0,51.8,79.6,70.0,70.0
70.0,53.0,48.7,71.6,76.5,16.6,70.0,77.1,66.8,70.0,70.0
50.0,34.0,58.9,76.8,49.6,95.3,70.0,64.1,80.0,70.0,70.0
70.0,66.0,82.0,54.8,33.7,79.0,70.0,64.9,83.0,90.0,50.0
30.0,10.0,24.1,45.9,89.2,81.9,55.0,43.7,48.2,30.0,50.0
90.0,98.0,77.8,32.2,5.9,96.7,85.0,92.1,79.6,70.0,90.0
50.0,30.0,29.6,65.3,88.0,94.3,55.0,48.2,48.2,70.0,50.0
70.0,64.0,68.9,60.8,39.3,46.0,70.0,41.5,79.6,70.0,50.0
30.0,10.0,22.2,74.9,69.3,5.4,55.0,57.1,68.6,30.0,30.0
50.0,21.0,44.0,77.9,78.1,14.1,55.0,62.9,65.0,50.0,50.0
10.0,10.0,36.0,40.9,79.7,91.7,40.0,52.5,47.2,30.0,10.0
50.0,25.0,46.3,88.3,81.3,67.2,55.0,70.3,81.4,70.0,70.0
50.0,70.0,52.3,98.5,47.1,17.7,70.0,75.4,75.4,30.0,50.0
30.0,31.0,65.4,70.3,92.3,85.9,55.0,62.6,48.6,30.0,30.0
30.0,17.0,45.2,79.4,86.8,89.4,55.0,50.3,72.6,50.0,30.0
90.0,40.0,59.9,69.9,82.7,97.0,70.0,51.1,67.6,70.0,50.0
90.0,74.0,63.4,74.0,82.7,91.7,85.0,74.5,71.4,70.0,70.0
30.0,27.0,45.8,52.2,85.5,80.8,55.0,56.1,61.0,50.0,70.0
90.0,91.0,71.5,63.1,44.5,94.3,85.0,61.8,82.2,70.0,50.0
30.0,37.0,56.5,68.3,25.0,67.2,55.0,43.4,68.8,50.0,50.0
70.0,41.0,56.6,65.3,49.6,81.5,70.0,61.3,78.8,70.0,70.0
10.0,10.0,12.3,10.0,10.2,11.9,40.0,69.8,40.0,10.0,10.0
50.0,38.0,56.6,76.1,56.7,79.9,70.0,70.0,66.8,90.0,30.0
90.0,91.0,91.5,83.1,90.3,80.0,100.0,96.9,83.0,90.0,70.0
30.0,20.0,29.6,50.4,89.2,60.9,55.0,51.5,48.2,50.0,50.0
50.0,50.0,48.3,73.3,81.3,30.4,70.0,61.8,72.0,50.0,50.0
50.0,52.0,41.7,68.8,69.3,53.4,70.0,62.7,27.2,70.0,50.0
70.0,64.0,73.2,70.7,54.4,49.3,70.0,82.4,80.4,50.0,50.0
70.0,43.0,55.9,66.8,33.7,96.2,70.0,77.0,73.0,70.0,90.0
10.0,10.0,5.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0,10.0
90.0,83.0,92.9,56.4,61.1,84.6,85.0,85.8,77.4,70.0,90.0
